product_id,store_code,store_name,product_name,sku,niche_term,product_category,regular_price,sale_price,discount_amount,discount_percentage
24551,"RBN","Rabbona","Polera Ici C'Est Paris - Negra","PSGD3CNTL","PSG","Adult","200.00","99.99","100.01","50.01"
24551,"RBN","Rabbona","Polera Ici C'Est Paris - Negra","PSGD3CNTS","PSG","Adult","200.00","99.99","100.01","50.01"
24551,"RBN","Rabbona","Polera Ici C'Est Paris - Negra","PSGD3CNTXL","PSG","Adult","200.00","99.99","100.01","50.01"
24552,"RBN","Rabbona","Polera Ici C'Est Paris - Blanca","PSGD3CBTS","PSG","Adult","200.00","99.99","100.01","50.01"
24552,"RBN","Rabbona","Polera Ici C'Est Paris - Blanca","PSGD3CBTM","PSG","Adult","200.00","99.99","100.01","50.01"
24552,"RBN","Rabbona","Polera Ici C'Est Paris - Blanca","PSGD3CBTXL","PSG","Adult","200.00","99.99","100.01","50.01"
24552,"RBN","Rabbona","Polera Ici C'Est Paris - Blanca","PSGD3CBTL","PSG","Adult","200.00","99.99","100.01","50.01"
24552,"RBN","Rabbona","Polera Ici C'Est Paris - Blanca","PSGD3CBTXS","PSG","Adult","200.00","99.99","100.01","50.01"
24732,"RBN","Rabbona","Sudadera PSG Tridente","PSGSD2CBTXL","PSG","Adult","240.00","179.99","60.01","25.00"
24732,"RBN","Rabbona","Sudadera PSG Tridente","PSGSD2CNTL","PSG","Adult","240.00","179.99","60.01","25.00"
24732,"RBN","Rabbona","Sudadera PSG Tridente","PSGSD2CBTL","PSG","Adult","240.00","179.99","60.01","25.00"
24732,"RBN","Rabbona","Sudadera PSG Tridente","PSGSD2CNTXL","PSG","Adult","240.00","179.99","60.01","25.00"
24734,"RBN","Rabbona","Manga Larga PSG Tridente","PSGML2CNTS","PSG","Adult","190.00","165.00","25.00","13.16"
24734,"RBN","Rabbona","Manga Larga PSG Tridente","PSGML2CNTXL","PSG","Adult","190.00","165.00","25.00","13.16"
24734,"RBN","Rabbona","Manga Larga PSG Tridente","PSGML2CNT2XL","PSG","Adult","190.00","165.00","25.00","13.16"
24757,"RBN","Rabbona","Manga Larga Ici C'Est Paris","PSGML3CNTM","PSG","Adult","210.00","175.00","35.00","16.67"
24758,"RBN","Rabbona","Sudadera Ici C'Est Paris","PSGSD3CNT2XL","PSG","Adult","260.00","215.00","45.00","17.31"
24758,"RBN","Rabbona","Sudadera Ici C'Est Paris","PSGSD3CBTL","PSG","Adult","260.00","215.00","45.00","17.31"
24758,"RBN","Rabbona","Sudadera Ici C'Est Paris","PSGSD3CNTM","PSG","Adult","260.00","215.00","45.00","17.31"
24758,"RBN","Rabbona","Sudadera Ici C'Est Paris","PSGSD3CNTXL","PSG","Adult","260.00","215.00","45.00","17.31"
24758,"RBN","Rabbona","Sudadera Ici C'Est Paris","PSGSD3CBTS","PSG","Adult","260.00","215.00","45.00","17.31"
24758,"RBN","Rabbona","Sudadera Ici C'Est Paris","PSGSD3CNTL","PSG","Adult","260.00","215.00","45.00","17.31"
25269,"RBN","Rabbona","Polera Bolivia - Niño","SBOD1CNT12","Bolivia","Bolivia","160.00","125.00","35.00","21.88"
25355,"RBN","Rabbona","Polera Argentina Campeón - Niño","SARD2CNT6","Argentina","Argentina","200.00","139.99","60.01","30.01"
25478,"RBN","Rabbona","Polera Man Utd X","RBN-MU-D1-CN-TXL","Manchester United","Adult","200.00","159.99","40.01","20.01"
25523,"RBN","Rabbona","Polera Man Utd X - Mujer","MUD1CRSTMM","Manchester United","Adult","200.00","159.99","40.01","20.01"
25524,"RBN","Rabbona","Polera Man Utd X - Blanca","MUD1CBTXS","Manchester United","Adult","200.00","119.99","80.01","40.01"
25524,"RBN","Rabbona","Polera Man Utd X - Blanca","MUD1CBTS","Manchester United","Adult","200.00","119.99","80.01","40.01"
25524,"RBN","Rabbona","Polera Man Utd X - Blanca","MUD1CBTM","Manchester United","Adult","200.00","119.99","80.01","40.01"
25524,"RBN","Rabbona","Polera Man Utd X - Blanca","MUD1CBTL","Manchester United","Adult","200.00","119.99","80.01","40.01"
25524,"RBN","Rabbona","Polera Man Utd X - Blanca","MUD1CBT2XL","Manchester United","Adult","200.00","119.99","80.01","40.01"
25524,"RBN","Rabbona","Polera Man Utd X - Blanca","MUD1CBTXL","Manchester United","Adult","200.00","119.99","80.01","40.01"
25559,"RBN","Rabbona","Polera Man Utd X - Negra","MUD1CNTL","Manchester United","Adult","200.00","119.99","80.01","40.01"
25559,"RBN","Rabbona","Polera Man Utd X - Negra","MUD1CNTXL","Manchester United","Adult","200.00","119.99","80.01","40.01"
25559,"RBN","Rabbona","Polera Man Utd X - Negra","MUD1CNTM","Manchester United","Adult","200.00","119.99","80.01","40.01"
25559,"RBN","Rabbona","Polera Man Utd X - Negra","MUD1CNT3XL","Manchester United","Adult","200.00","119.99","80.01","40.01"
25559,"RBN","Rabbona","Polera Man Utd X - Negra","MUD1CNTS","Manchester United","Adult","200.00","119.99","80.01","40.01"
25559,"RBN","Rabbona","Polera Man Utd X - Negra","MUD1CNTXS","Manchester United","Adult","200.00","119.99","80.01","40.01"
25560,"RBN","Rabbona","Polera Man Utd X - Roja","MUD1CRTM","Manchester United","Adult","200.00","119.99","80.01","40.01"
25560,"RBN","Rabbona","Polera Man Utd X - Roja","MUD1CRT2XL","Manchester United","Adult","200.00","119.99","80.01","40.01"
25560,"RBN","Rabbona","Polera Man Utd X - Roja","MUD1CRTXL","Manchester United","Adult","200.00","119.99","80.01","40.01"
25560,"RBN","Rabbona","Polera Man Utd X - Roja","MUD1CRTS","Manchester United","Adult","200.00","119.99","80.01","40.01"
25560,"RBN","Rabbona","Polera Man Utd X - Roja","MUD1CRTL","Manchester United","Adult","200.00","119.99","80.01","40.01"
25596,"RBN","Rabbona","Polera The Theater of Dreams","RBN-MU-D2-CN-TL","Manchester United","Adult","210.00","169.99","40.01","19.05"
25597,"RBN","Rabbona","Polera The Theater of Dreams - Niño","MUD2CBT12","Manchester United","Manchester United","190.00","155.00","35.00","18.42"
25640,"RBN","Rabbona","Polera The Theater of Dreams - Blanca","MUD2CBTM","Manchester United","Adult","220.00","119.99","100.01","45.46"
25640,"RBN","Rabbona","Polera The Theater of Dreams - Blanca","MUD2CBTL","Manchester United","Adult","220.00","119.99","100.01","45.46"
25640,"RBN","Rabbona","Polera The Theater of Dreams - Blanca","MUD2CBTXL","Manchester United","Adult","220.00","119.99","100.01","45.46"
25640,"RBN","Rabbona","Polera The Theater of Dreams - Blanca","MUD2CBTXS","Manchester United","Adult","220.00","119.99","100.01","45.46"
25640,"RBN","Rabbona","Polera The Theater of Dreams - Blanca","MUD2CBTS","Manchester United","Adult","220.00","119.99","100.01","45.46"
25668,"RBN","Rabbona","Polera The Theater of Dreams - Roja","MUD2CRT3XL","Manchester United","Adult","220.00","119.99","100.01","45.46"
25668,"RBN","Rabbona","Polera The Theater of Dreams - Roja","MUD2CRTXL","Manchester United","Adult","220.00","119.99","100.01","45.46"
25668,"RBN","Rabbona","Polera The Theater of Dreams - Roja","MUD2CRTM","Manchester United","Adult","220.00","119.99","100.01","45.46"
25668,"RBN","Rabbona","Polera The Theater of Dreams - Roja","MUD2CRTL","Manchester United","Adult","220.00","119.99","100.01","45.46"
25669,"RBN","Rabbona","Polera The Theater of Dreams - Negra","MUD2CNTL","Manchester United","Adult","220.00","119.99","100.01","45.46"
25669,"RBN","Rabbona","Polera The Theater of Dreams - Negra","MUD2CNTXL","Manchester United","Adult","220.00","119.99","100.01","45.46"
25669,"RBN","Rabbona","Polera The Theater of Dreams - Negra","MUD2CNTXS","Manchester United","Adult","220.00","119.99","100.01","45.46"
25669,"RBN","Rabbona","Polera The Theater of Dreams - Negra","MUD2CNTS","Manchester United","Adult","220.00","119.99","100.01","45.46"
25669,"RBN","Rabbona","Polera The Theater of Dreams - Negra","MUD2CNTM","Manchester United","Adult","220.00","119.99","100.01","45.46"
