product_id,store_code,store_name,product_name,sku,niche_term,product_category,regular_price,sale_price,discount_amount,discount_percentage
27929,"RBN","Rabbona","Sudadera Escudo YNWA","LFCSD4CNTM","Liverpool","Adult","240.00","205.00","35.00","14.58"
27929,"RBN","Rabbona","Sudadera Escudo YNWA","LFCSD4CBT2XL","Liverpool","Adult","240.00","205.00","35.00","14.58"
27947,"RBN","Rabbona","Polera You'll Never Walk Alone - Blanca","LFCD1CBT3XL","Liverpool","Adult","190.00","115.00","75.00","39.47"
27947,"RBN","Rabbona","Polera You'll Never Walk Alone - Blanca","LFCD1CBTXS","Liverpool","Adult","190.00","115.00","75.00","39.47"
27947,"RBN","Rabbona","Polera You'll Never Walk Alone - Blanca","LFCD1CBTL","Liverpool","Adult","190.00","115.00","75.00","39.47"
27947,"RBN","Rabbona","Polera You'll Never Walk Alone - Blanca","LFCD1CBTXL","Liverpool","Adult","190.00","115.00","75.00","39.47"
27947,"RBN","Rabbona","Polera You'll Never Walk Alone - Blanca","LFCD1CBTS","Liverpool","Adult","190.00","115.00","75.00","39.47"
27957,"RBN","Rabbona","Polera You'll Never Walk Alone - Negra","LFCD1CNTL","Liverpool","Adult","190.00","115.00","75.00","39.47"
27957,"RBN","Rabbona","Polera You'll Never Walk Alone - Negra","LFCD1CNTXS","Liverpool","Adult","190.00","115.00","75.00","39.47"
27957,"RBN","Rabbona","Polera You'll Never Walk Alone - Negra","LFCD1CNTM","Liverpool","Adult","190.00","115.00","75.00","39.47"
27957,"RBN","Rabbona","Polera You'll Never Walk Alone - Negra","LFCD1CNT2XL","Liverpool","Adult","190.00","115.00","75.00","39.47"
27966,"RBN","Rabbona","Polera You'll Never Walk Alone - Roja","LFCD1CRTXL","Liverpool","Adult","190.00","115.00","75.00","39.47"
27966,"RBN","Rabbona","Polera You'll Never Walk Alone - Roja","LFCD1CRTL","Liverpool","Adult","190.00","115.00","75.00","39.47"
27966,"RBN","Rabbona","Polera You'll Never Walk Alone - Roja","LFCD1CRTM","Liverpool","Adult","190.00","115.00","75.00","39.47"
27975,"RBN","Rabbona","Polera YNWA - Roja","LFCD2CRTS","Liverpool","Adult","220.00","115.00","105.00","47.73"
27975,"RBN","Rabbona","Polera YNWA - Roja","LFCD2CRTXS","Liverpool","Adult","220.00","115.00","105.00","47.73"
27975,"RBN","Rabbona","Polera YNWA - Roja","LFCD2CRTXL","Liverpool","Adult","220.00","115.00","105.00","47.73"
27984,"RBN","Rabbona","Polera YNWA - Blanca","LFCD2CBTM","Liverpool","Adult","220.00","115.00","105.00","47.73"
