customer_key,channel_name,niche_term,orders_count,total_spend
"001db30d4e35145e154b6df1a5fa71dff6bcefabd7a492900b35bca452b0e0c6","Online Web","Oriente Petrolero",1,"79.98"
"0020b1da6d7d75b18f0825a8ac9dcaa820254522f9109fd06179ab3c8bf15af6","Manual Admin","Francia",1,"199.98"
"0020b1da6d7d75b18f0825a8ac9dcaa820254522f9109fd06179ab3c8bf15af6","Manual Admin","Juventus",1,"128.00"
"0033008b39f8d31460f5fa04bbf25d203412f9e51bae623c27565836df25b17e","Online Web","Apparel",1,"239.98"
"0033008b39f8d31460f5fa04bbf25d203412f9e51bae623c27565836df25b17e","Online Web","Juventus",1,"69.99"
"0033008b39f8d31460f5fa04bbf25d203412f9e51bae623c27565836df25b17e","Online Web","Oriente Petrolero",1,"1239.89"
"0033008b39f8d31460f5fa04bbf25d203412f9e51bae623c27565836df25b17e","Online Web","River Plate",1,"239.98"
"0033008b39f8d31460f5fa04bbf25d203412f9e51bae623c27565836df25b17e","Other Channels","Apparel",1,"239.98"
"0033008b39f8d31460f5fa04bbf25d203412f9e51bae623c27565836df25b17e","Other Channels","Juventus",1,"69.99"
"0033008b39f8d31460f5fa04bbf25d203412f9e51bae623c27565836df25b17e","Other Channels","Oriente Petrolero",1,"1239.89"
"0033008b39f8d31460f5fa04bbf25d203412f9e51bae623c27565836df25b17e","Other Channels","River Plate",1,"239.98"
"007ce2188b34ac251883cfe4d801d7eb99e8e0be03321a1b8223dc562aeb172b","Manual Admin","Blackpink",1,"199.98"
"007ce2188b34ac251883cfe4d801d7eb99e8e0be03321a1b8223dc562aeb172b","Manual Admin","Chelsea",1,"199.98"
"007ce2188b34ac251883cfe4d801d7eb99e8e0be03321a1b8223dc562aeb172b","Manual Admin","Oriente Petrolero",1,"69.99"
"007ce2188b34ac251883cfe4d801d7eb99e8e0be03321a1b8223dc562aeb172b","Online Web","Blackpink",1,"199.98"
"007ce2188b34ac251883cfe4d801d7eb99e8e0be03321a1b8223dc562aeb172b","Online Web","Chelsea",1,"199.98"
"007ce2188b34ac251883cfe4d801d7eb99e8e0be03321a1b8223dc562aeb172b","Online Web","Oriente Petrolero",1,"69.99"
"00a60db2c54522d8c48a6672be54a58b1fc9360eabcca4ffa42de38f45b7bb32","Other Channels","Oriente Petrolero",1,"375.00"
"00d0c27216b5a01bb5afb4a326be57ded03d11d855dd83ad8a85c6d03694305a","Manual Admin","Oriente Petrolero",1,"45.00"
"00f459086ab8c40f2b33393c91409b728d4c9a85a18e3772faf30e0be320c301","Other Channels","Formula 1",1,"1299.95"
"00f61ad9e3f9ff589e5f21c9792d140703604182f0cf4ee2f1d11ecb166d5fab","Manual Admin","Oriente Petrolero",1,"909.93"
"011106a0178defc718e29ee16131096bef7733c323e5c4eb991c084c498301c7","Online Web","Oriente Petrolero",1,"49.99"
"0119e89954a1b735eb4e8b4226c0975affc89906c53e67ca0529e1af393fd6f0","Manual Admin","Better Call Saul",1,"139.98"
"0119e89954a1b735eb4e8b4226c0975affc89906c53e67ca0529e1af393fd6f0","Manual Admin","Formula 1",1,"449.96"
"0119e89954a1b735eb4e8b4226c0975affc89906c53e67ca0529e1af393fd6f0","Manual Admin","Tenis",2,"684.99"
"01678ac91e118eee30b5e814b96beb148421675b451dc99448b8cd2d3e073ea8","Other Channels","Oriente Petrolero",1,"1019.94"
"019575323e95cbfaf079f8894d8849b9a876317a2fe4a0be8a7e80a51a205fbf","Manual Admin","Oriente Petrolero",2,"879.92"
"01bb6c3801be7fb021839e9319b9cc56b1dbbfc1d179df3dc6edffd8ef02a27d","Online Web","Oriente Petrolero",1,"49.99"
"01bd6cd53ac8d1e262c83a43995ff1bb0f8acf3b980800b3c31376c0e959ae37","Manual Admin","Formula 1",2,"929.99"
"01ca120f5623e87c43df399e4aefc7cf50205dfd413b06f5173d14a4fcec6e6a","Online Web","Oriente Petrolero",1,"99.98"
"01f47f3ddd6c7d25663b7b521371453a7c23c81801c3a8e805aae605a44c58eb","Online Web","Oriente Petrolero",1,"34.00"
"01facc091acfe8eac62c86999162267896684e484608d20d8fbaccdadd5e7327","Manual Admin","Oriente Petrolero",1,"59.99"
"0252e45ab9c098c401329fbbea98cdb098f6fd9f44a4030a718c40facc1dfa2c","Online Web","Oriente Petrolero",1,"969.98"
"025ac56073be6a568f4fb97a4a41119a719a5ad5ed2da1ff090fe2ccdb3ee2fa","Online Web","Oriente Petrolero",1,"1145.00"
"027385062e4a9e4baaa68026491c46713022a5eb890cbcbc82717307b9e25b02","Point of Sale","Oriente Petrolero",1,"59.99"
"029291df1598280735fbaf2a3e1b6bfa2065b01022a3c2644b446e777ef3da2b","Online Web","Formula 1",1,"424.99"
"029b59854e36f8bf0039d30439b215b6c6386a20002ef6d06ec199b2d366ad9f","Online Web","Oriente Petrolero",1,"90.00"
"029e34da17c2577f9611003aed2b388f53e1f050d5aa0385c1bd95c2cbdfac96","Manual Admin","Oriente Petrolero",1,"1104.00"
"029e34da17c2577f9611003aed2b388f53e1f050d5aa0385c1bd95c2cbdfac96","Online Web","Oriente Petrolero",1,"1134.90"
"02a4724f6012d81a6a439149c38aefb3e4cc3fd165618bbb68112efdd6fd5fc7","Online Web","Oriente Petrolero",1,"65.00"
"02a4724f6012d81a6a439149c38aefb3e4cc3fd165618bbb68112efdd6fd5fc7","Other Channels","Oriente Petrolero",1,"65.00"
"02a7050f4bdd65f3ae73f5cb8dd55fffdd557c5a10a31734fe16496a375a45d7","Manual Admin","Real Madrid",1,"189.99"
"02b246f4b6e03f5f8712e9c9c9cead737bf8e3c9b6a5f9e484efe71683c2e0ac","Online Web","Oriente Petrolero",1,"69.99"
"02e418ad0a1a0687d311673cd7e8d98985fdbfd6ed1b15e59c4dcdd6921fcdd5","Manual Admin","Oriente Petrolero",1,"49.99"
"02e418ad0a1a0687d311673cd7e8d98985fdbfd6ed1b15e59c4dcdd6921fcdd5","Online Web","Oriente Petrolero",1,"239.95"
"0300585be51941f20ff85aabcae927c5663e919166e90ae49ca843f88aa13cb3","Online Web","Oriente Petrolero",1,"1098.39"
"0311f232604fa7a40eef6123811664b1bffbbf5ceef4b03f8076214e78a4a75e","Online Web","Formula 1",1,"5838.64"
"0311f232604fa7a40eef6123811664b1bffbbf5ceef4b03f8076214e78a4a75e","Online Web","Other Trends",1,"956.40"
"0346ad8b500c2ce673f48490b38753ff9966090ed4292c0455108cbecc2c2cc5","Manual Admin","Formula 1",1,"69.99"
"0351afeb8650a340369e9c503aae7369b345a8642ae53195cf42e414c9cd4837","Other Channels","Oriente Petrolero",1,"899.95"
"036ccc0bb7c5cedd8ad408f3f5900bd1dc644c9ae5282794739b21571c00b52e","Manual Admin","Oriente Petrolero",1,"444.96"
"0374c125e72068321e6c1078be0165ad11f1b7bba9685668c9c7be12ef3a7b5d","Online Web","Oriente Petrolero",1,"1519.86"
"03c16b9783fc420e51cd957d5a3615cc3084106a06fd137ad040713e38c5c8d7","Online Web","Oriente Petrolero",1,"65.00"
"03d3dbe3077fcfe1975a0f6eb2a1d0bdc1ba17169c37d4aa8b922e81f6360b19","Online Web","Oriente Petrolero",1,"1663.92"
"03d3dbe3077fcfe1975a0f6eb2a1d0bdc1ba17169c37d4aa8b922e81f6360b19","Online Web","Tenis",1,"69.99"
"03d45c717fbf4a906ea3c64b9f657fa9419e340a44b95f40469471dc2dc252c6","Other Channels","Oriente Petrolero",1,"749.95"
"03eff5285403e4c55363bd9d9f0ed7ee64fe604a28c21f3bc0f6dd800a93785e","Manual Admin","Formula 1",1,"115.00"
"03eff5285403e4c55363bd9d9f0ed7ee64fe604a28c21f3bc0f6dd800a93785e","Manual Admin","Tenis",1,"79.98"
"0414ee905f99d6c14ccb7772f771596bbada313aafde806cc152180d963a91b5","Manual Admin","Netflix",1,"679.97"
"0414ee905f99d6c14ccb7772f771596bbada313aafde806cc152180d963a91b5","Manual Admin","Stranger Things",1,"2304.86"
"041ac91191ba1b22a9bc6f3b1b839953d384ce5a45821a2e91b61c7abd236f69","Manual Admin","Better Call Saul",1,"139.98"
"0444167e4590dc6b1025754dbea22865026840c66e868e07b374fdfbd83d07f8","Online Web","Oriente Petrolero",1,"1019.94"
"0444167e4590dc6b1025754dbea22865026840c66e868e07b374fdfbd83d07f8","Other Channels","Oriente Petrolero",1,"1019.94"
"0453efc58a62199369cea05e0ffbec139bd81db1deee2394da2809f8da6ba279","Manual Admin","Oriente Petrolero",1,"599.94"
"047b710a18a488992c78c71e5f6e59cf77a269c10f7efa4bb411349441fb92f8","Online Web","Oriente Petrolero",1,"65.00"
"0480ae05a67d4a0c0a7f5cb144dda64a228f12df4922c87852d26f5ceff454b0","Manual Admin","Boca Juniors",1,"330.00"
"0480ae05a67d4a0c0a7f5cb144dda64a228f12df4922c87852d26f5ceff454b0","Manual Admin","Liverpool",1,"59.99"
