order_id,order_date,store_code,customer_key,channel_name,season_type,sport_event_name,niche_term,product_category,line_total,quantity
22463,2020-11-24T04:04:31.000Z,"PA","c61c678367b3aca35041ebe5e7b6bf76faf48d9953db27e2c2b5a89ade04ef35","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Uncategorized","19.99","1.000"
22464,2020-11-24T04:27:13.000Z,"PA","aba46fb02e4216b1fbf707884c9a9e1d1ef0101148b62bbbe88ad793ded01049","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Women","119.98","3.000"
22464,2020-11-24T04:27:13.000Z,"PA","aba46fb02e4216b1fbf707884c9a9e1d1ef0101148b62bbbe88ad793ded01049","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Uncategorized","40.00","1.000"
22487,2020-11-24T21:13:31.000Z,"PA","acf7163578fe363ef4c3bf218d1470a16d61cfeca68af63612ff068f54da20c3","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Tazas","72.00","3.000"
22488,2020-11-24T21:20:19.000Z,"PA","56593a3076ff64dd4ed5d63daa08d08795f4e16c712ae7d9630d761f4ffea152","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Caps","34.00","1.000"
22489,2020-11-24T21:39:49.000Z,"PA","6ef3388ffc2b017408aca53b1a948f530e17cff7436f3e96b74182b83bd07361","Manual Admin","Black Friday Season","No Special Event","Oriente Petrolero","Women","30.00","1.000"
22489,2020-11-24T21:39:49.000Z,"PA","6ef3388ffc2b017408aca53b1a948f530e17cff7436f3e96b74182b83bd07361","Manual Admin","Black Friday Season","No Special Event","Oriente Petrolero","Caps","34.00","1.000"
22490,2020-11-24T22:03:34.000Z,"PA","","Manual Admin","Black Friday Season","No Special Event","Oriente Petrolero","Uncategorized","174.00","1.000"
22490,2020-11-24T22:03:34.000Z,"PA","","Manual Admin","Black Friday Season","No Special Event","Oriente Petrolero","Women","69.99","1.000"
22491,2020-11-24T22:19:26.000Z,"PA","7ef1b091786e4e6e8da09ddc0ce62df2ebbf8c64b64a10f253962b6d51bd9735","Manual Admin","Black Friday Season","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
22494,2020-11-24T22:27:26.000Z,"PA","30b44efa5b12b8bcdf53b93614bdcd57dad5c05273dac09a5583a072152959b6","Manual Admin","Black Friday Season","No Special Event","Oriente Petrolero","Women","69.99","1.000"
22496,2020-11-24T22:46:11.000Z,"PA","b39e02d931060077e4443514f6c8f4969b8c0b3a040eb1adc37178b233d9de6b","Manual Admin","Black Friday Season","No Special Event","Oriente Petrolero","Uncategorized","147.00","1.000"
22497,2020-11-25T00:14:46.000Z,"PA","bc6fbe2d25138f1fa69b3147b37050d14433be1751a6e8d9ea58270d0de84503","Online Web","Black Friday Season","No Special Event","Oriente Petrolero","Poleras","69.99","1.000"
